APP_NUMBER,AMOUNT_FUNDED,INDUSTRY,COUNTRY,ANNUAL_REVENUE,YEARS_IN_BUS,FUNDED_DATE
CD2112070523,26943.84,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,3/30/2022
CD2103050277,141911.4,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/12/2021
CD2105250815,115995,CONSTRUCTION,CAN,"500,000 - 1,000,000",6 years,8/23/2021
CD2202180145,152345,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",8 years,2/24/2022
CD2101250843,21495,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,1/27/2021
CD2103050299,53136.13,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/8/2021
CD2101250915,26495,CONSTRUCTION,CAN,"250,000 - 500,000",7 years,3/24/2021
CD2103050378,25995,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,6/28/2021
CD2109090735,17064.2,OTHER,USA,"Under 250,000",10+ years,9/13/2021
CD2103050346,21295.25,FORESTRY,USA,"Under 250,000",4 years,3/5/2021
CD2112070865,148312.63,OTHER,USA,"Over 10,000,000",10+ years,12/9/2021
CD2106030618,79223.21,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,8/31/2021
CD2106101235,44680.43,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",6 years,10/6/2021
CD2103050649,20172.22,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/8/2021
CD2112070853,59695,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,12/15/2021
CD2103050599,92285,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,3/11/2021
CD2105251178,96602.84,MATERIAL HANDLING,USA,"250,000 - 500,000",10+ years,6/8/2021
CD2103050620,35669.88,RENTAL COMPANY,USA,"500,000 - 1,000,000",10+ years,3/9/2021
CD2105251106,34670,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,7/28/2021
CD2103050641,13875,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,3/12/2021
CD2105251347,23218.46,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,5/27/2021
CD2102150378,43966.97,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/29/2021
CD2112070976,15370,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,1/10/2022
CD2202180606,86092.86,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/23/2022
CD2111041171,115474.75,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,11/10/2021
CD2202180483,51308.45,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/24/2022
CD2112070962,70535,AGRICULTURE,CAN,"Over 10,000,000",10+ years,12/16/2021
CD2103230738,78300.57,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",4 years,3/31/2021
CD2202250335,100754.2,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/2/2022
CD2102150383,27500,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/19/2021
CD2202250344,15579,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,2/28/2022
CD2103230893,87995,MATERIAL HANDLING,USA,"5,000,000 - 10,000,000",10+ years,4/1/2021
CD2105251167,52854.9,OTHER,CAN,"1,000,000 - 5,000,000",10+ years,6/8/2021
CD2103050828,17275.9,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/10/2021
CD2106031040,73885,CONSTRUCTION,USA,"Over 10,000,000",10+ years,6/8/2021
CD2103050827,17794,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/17/2021
CD2112070961,292495,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,1/31/2022
CD2106021119,27497.68,CONSTRUCTION,CAN,"250,000 - 500,000",5 years,6/30/2021
CD2112071115,67535,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,12/18/2021
CD2103050728,26075,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",10+ years,3/29/2021
CD2106101279,92645,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",7 years,6/15/2021
CD2103050673,15581.75,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",9 years,3/26/2021
CD2105260093,17000,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,9/21/2021
CD2103050705,21731,CONSTRUCTION,USA,"Over 10,000,000",10+ years,6/30/2021
CD2106101306,81648,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,6/24/2021
CD2103050695,169036.3,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/22/2021
CD2105260080,29324.23,AGRICULTURE,USA,"Under 250,000",2 years,6/30/2021
CD2103050731,59795,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/18/2021
CD2112071132,40429,LONG-HAUL TRANSPORTATION,CAN,"5,000,000 - 10,000,000",5 years,12/10/2021
CD2103050656,34292,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",5 years,3/31/2021
CD2106101369,28599.58,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,6/30/2021
CD2103050668,83445,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/12/2021
CD2106041058,23695,CONSTRUCTION,USA,"5,000,000 - 10,000,000",2 years,6/10/2021
CD2103050685,133147.2,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/16/2021
CD2112071141,55000,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,12/13/2021
CD2109270503,44025,CONSTRUCTION,USA,"Over 10,000,000",10+ years,9/29/2021
CD2112070749,247715,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,12/13/2021
CD2103050820,44388,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,3/31/2021
CD2106040948,26227.69,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",8 years,6/9/2021
CD2103050813,76660,RENTAL COMPANY,USA,"Over 10,000,000",10+ years,3/10/2021
CD2106101305,41614.4,FORESTRY,CAN,"Under 250,000",4 years,6/21/2021
CD2111101362,34204.5,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,11/22/2021
CD2112071142,137800,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,12/13/2021
CD2102150627,56955.37,CONSTRUCTION,USA,"Over 10,000,000",10+ years,4/8/2021
CD2202251132,49057.54,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,3/3/2022
CD2102150285,139166.9,LONG-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,2/23/2021
CD2202250557,80000,AGRICULTURE,USA,"Over 10,000,000",10+ years,3/28/2022
CD2103060132,151414.66,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/22/2021
CD2101250961,85194,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,2/9/2021
CD2103060130,19265,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,9/22/2021
CD2201180612,68415.46,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",4 years,1/24/2022
CD2103191150,23032.89,CONSTRUCTION,USA,"500,000 - 1,000,000",7 years,3/30/2021
CD2106030961,17795,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,9/2/2021
CD2103040944,28308.99,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/10/2021
CD2111050294,41914.75,OTHER,USA,"Under 250,000",5 years,12/10/2021
CD2103040947,45637.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,3/12/2021
CD2101250972,60619.25,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,2/17/2021
CD2103040911,10800,CONSTRUCTION,USA,"Under 250,000",4 years,3/25/2021
CD2106030953,23669,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,6/15/2021
CD2103040920,21133.7,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",9 years,3/25/2021
CD2010020295,333595,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,2/12/2021
CD2103040884,63049.09,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",3 years,3/29/2021
CD2106040992,54541,OTHER,USA,"1,000,000 - 5,000,000",10+ years,6/10/2021
CD2103040900,21665,CONSTRUCTION,USA,"Under 250,000",9 years,3/11/2021
CD2101250975,70995,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,1/28/2021
CD2103040880,19920,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/10/2021
CD2202250429,78028.25,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",8 years,3/10/2022
CD2103041033,15893.25,CONSTRUCTION,USA,"Under 250,000",3 years,5/21/2021
CD2202250497,39907.91,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/15/2022
CD2103191137,15046.5,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",6 years,3/24/2021
CD2106041035,50961.9,CONSTRUCTION,CAN,"Under 250,000",7 years,6/16/2021
CD2202180559,54995.55,CONSTRUCTION,USA,"Under 250,000",8 years,2/25/2022
CD2202250340,27401.66,MATERIAL HANDLING,USA,"500,000 - 1,000,000",4 years,3/30/2022
CD2103041050,50382.89,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/11/2021
CD2202250444,13720,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,3/20/2022
CD2103040960,27133.22,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,4/8/2021
CD2202250555,33197.35,AGRICULTURE,CAN,"250,000 - 500,000",8 years,3/22/2022
CD2103191210,77580,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,3/29/2021
CD2202250349,133921,CONSTRUCTION,USA,"Over 10,000,000",5 years,3/17/2022
CD2103041001,27846.34,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,4/16/2021
CD2106040903,7960,OTHER,USA,"Under 250,000",2 years,6/11/2021
CD2103191191,25175,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,3/25/2021
CD2106040990,214645.63,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,6/10/2021
CD2103041017,33376.6,CONSTRUCTION,USA,"Over 10,000,000",3 years,3/23/2021
CD2106031125,42434.74,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,7/23/2021
CD2103191202,8013.75,CONSTRUCTION,USA,"Under 250,000",8 years,3/23/2021
CD2105260467,11743.67,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,6/21/2021
CD2103191236,167308,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,4/21/2021
CD2106031069,33355,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,6/11/2021
CD2103041003,147501.36,CONSTRUCTION,USA,"1,000,000 - 5,000,000",8 years,3/9/2021
CD2112220245,67289.29,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,1/10/2022
CD2103191247,40280,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,3/26/2021
CD2111050309,34570,CONSTRUCTION,USA,"Under 250,000",2 years,11/30/2021
CD2103040963,54749,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/24/2021
CD2202250336,25799,RENTAL COMPANY,USA,"1,000,000 - 5,000,000",10+ years,2/28/2022
CD2103060105,19070.11,CONSTRUCTION,USA,"Under 250,000",10+ years,3/9/2021
CD2112220223,45101.13,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,12/23/2021
CD2202180666,25363,CONSTRUCTION,USA,"Over 10,000,000",10+ years,2/28/2022
CD2106040973,120737,FORESTRY,CAN,"Under 250,000",6 years,6/15/2021
CD2103060036,15985,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",2 years,3/29/2021
CD2202250535,38140,CONSTRUCTION,USA,"Over 10,000,000",10+ years,3/10/2022
CD2103051120,6683.31,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,4/19/2021
CD2111050385,77610,AGRICULTURE,USA,"500,000 - 1,000,000",10+ years,12/3/2021
CD2202180753,36459.36,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,3/22/2022
CD2202250487,35066.23,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/23/2022
CD2103060010,44731.55,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/29/2021
CD2105181024,65753.75,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,5/25/2021
CD2103051117,43101,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,3/24/2021
CD2105260631,107685,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,6/1/2021
CD2103051110,87829.04,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/29/2021
CD2101250980,36752.19,AGRICULTURE,CAN,"500,000 - 1,000,000",10+ years,4/6/2021
CD2103060027,27255.34,CONSTRUCTION,USA,"Under 250,000",4 years,3/10/2021
CD2201180685,223990,LONG-HAUL TRANSPORTATION,USA,"Over 10,000,000",8 years,2/7/2022
CD2103051104,33900.25,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,5/20/2021
CD2202250582,39316.83,CONSTRUCTION,USA,"Under 250,000",4 years,3/1/2022
CD2105170164,34426.27,AGRICULTURE,CAN,"Under 250,000",3 years,6/8/2021
CD2106041079,65581.6,SHORT-HAUL TRANSPORTATION,CAN,"5,000,000 - 10,000,000",10+ years,7/20/2021
CD2103051139,45243.5,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,5/12/2021
CD2106030967,18060,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,6/8/2021
CD2103051141,25752.29,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",5 years,3/11/2021
CD2105260525,30954.86,MINING,USA,"1,000,000 - 5,000,000",10+ years,5/31/2021
CD2103051133,34821.25,MATERIAL HANDLING,USA,"5,000,000 - 10,000,000",10+ years,3/10/2021
CD2105260487,54935,CONSTRUCTION,CAN,"Under 250,000",10+ years,5/28/2021
CD2202180765,58662.5,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/1/2022
CD2201180562,113090,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",10+ years,2/3/2022
CD2109221313,39000,OTHER,USA,"Under 250,000",8 years,10/28/2021
CD2105260972,61888.28,CONSTRUCTION,CAN,"Under 250,000",10+ years,5/28/2021
CD2105170975,11431,CONSTRUCTION,USA,"1,000,000 - 5,000,000",4 years,5/25/2021
CD2202251229,121788.14,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,5/13/2022
CD2105170825,131903.8,CONSTRUCTION,CAN,"250,000 - 500,000",5 years,6/2/2021
CD2112220424,297983,CONSTRUCTION,USA,"Over 10,000,000",10+ years,12/29/2021
CD2105171163,51995,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,7/6/2021
CD2112220238,149944.5,FORESTRY,CAN,"250,000 - 500,000",10+ years,12/24/2021
CD2202180555,183915,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,3/30/2022
CD2202250832,179556.5,AGRICULTURE,USA,"1,000,000 - 5,000,000",10+ years,2/25/2022
CD2105170372,86540,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,7/15/2021
CD2202250609,98283,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/28/2022
CD2202180396,230073.85,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,2/18/2022
CD2111050465,42303.76,CONSTRUCTION,CAN,"Under 250,000",10+ years,11/16/2021
CD2105180317,19725,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",1 year,7/29/2021
CD2111050468,24630,AGRICULTURE,CAN,"250,000 - 500,000",10+ years,11/10/2021
CD2106030499,68795,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,8/4/2021
CD2202250941,40700.25,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/2/2022
CD2202180697,114983,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,3/2/2022
CD2105260792,41861.5,SHORT-HAUL TRANSPORTATION,CAN,"Under 250,000",4 years,5/28/2021
CD2202180554,45972.88,CONSTRUCTION,CAN,"Under 250,000",9 years,3/29/2022
CD2105260498,57738,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",3 years,6/21/2021
CD2202180323,318990.72,CONSTRUCTION,USA,"Over 10,000,000",10+ years,2/24/2022
CD2105260669,40837.98,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,8/10/2021
CD2105180409,16070,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",5 years,6/3/2021
CD2105260401,85232.05,OTHER,USA,"250,000 - 500,000",10+ years,5/28/2021
CD2106030533,56079,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,6/9/2021
CD2106030969,185300,CONSTRUCTION,CAN,"500,000 - 1,000,000",8 years,6/9/2021
CD2104260172,18220.49,MINING,CAN,"1,000,000 - 5,000,000",10+ years,4/28/2021
CD2105260944,40233.89,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,5/28/2021
CD2105170782,51690,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",3 years,5/26/2021
CD2202250779,77579.69,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,3/8/2022
CD2103241418,20815,CONSTRUCTION,CAN,"Under 250,000",10+ years,4/22/2021
CD2105260767,36433.81,CONSTRUCTION,CAN,"500,000 - 1,000,000",6 years,5/31/2021
CD2103240974,22960,LONG-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",7 years,7/6/2021
CD2105260673,57732.05,CONSTRUCTION,USA,"1,000,000 - 5,000,000",6 years,6/4/2021
CD2202180445,63383.87,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",5 years,2/23/2022
CD2201180635,22872.37,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,4/12/2022
CD2102150309,54175,SHORT-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",6 years,2/25/2021
CD2112220461,34819,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",3 years,12/23/2021
CD2105170666,156690,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",6 years,6/11/2021
CD2112220515,90000,CONSTRUCTION,USA,"250,000 - 500,000",6 years,1/11/2022
CD2105170953,60995,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/28/2021
CD2201180761,79184.34,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,2/10/2022
CD2105171196,23828.77,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",6 years,6/30/2021
CD2112220293,183138.18,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,12/24/2021
CD2106021180,119420,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,12/10/2021
CD2105260699,38047.85,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,5/31/2021
CD2202180309,77000,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,3/14/2022
CD2112220285,97875,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",7 years,4/5/2022
CD2102150662,12000,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",8 years,2/26/2021
CD2105181216,29483.58,SHORT-HAUL TRANSPORTATION,USA,"250,000 - 500,000",10+ years,6/22/2021
CD2202180703,41914.05,MANUFACTURING,USA,"1,000,000 - 5,000,000",10+ years,2/22/2022
CD2103090391,101495,LONG-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,3/10/2021
CD2202180313,158895,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,2/23/2022
CD2201180678,29705,CONSTRUCTION,USA,"500,000 - 1,000,000",1 year,1/31/2022
CD2102150502,54577.38,AGRICULTURE,CAN,"Under 250,000",1 year,3/31/2021
CD2105260738,49961.25,CONSTRUCTION,USA,"250,000 - 500,000",3 years,8/19/2021
CD2105171286,44162.38,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,9/22/2021
CD2201180664,81579,SHORT-HAUL TRANSPORTATION,USA,"5,000,000 - 10,000,000",6 years,1/21/2022
CD2202180938,29409.01,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/7/2022
CD2202250764,19310.88,CONSTRUCTION,USA,"1,000,000 - 5,000,000",2 years,2/26/2022
CD2105170360,35600,CONSTRUCTION,CAN,"500,000 - 1,000,000",8 years,6/8/2021
CD2112220307,247955.63,CONSTRUCTION,USA,"Over 10,000,000",8 years,1/4/2022
CD2105180677,83248.12,LONG-HAUL TRANSPORTATION,CAN,"500,000 - 1,000,000",4 years,5/20/2021
CD2105181081,34825.89,AGRICULTURE,USA,"500,000 - 1,000,000",10+ years,5/20/2021
CD2202180563,46096.3,OTHER,USA,"1,000,000 - 5,000,000",10+ years,3/22/2022
CD2105260643,61090.14,CONSTRUCTION,USA,"5,000,000 - 10,000,000",10+ years,6/3/2021
CD2106021202,34890.5,AGRICULTURE,CAN,"Under 250,000",10+ years,6/10/2021
CD2111050638,82327.4,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,11/12/2021
CD2102150836,56365,LONG-HAUL TRANSPORTATION,CAN,"Under 250,000",9 years,5/3/2021
CD2105260773,159205,LONG-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",5 years,5/31/2021
CD2105170427,202785,FORESTRY,USA,"500,000 - 1,000,000",9 years,5/28/2021
CD2105260797,28945,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",10+ years,7/28/2021
CD2202180952,30335,CONSTRUCTION,USA,"Under 250,000",10+ years,2/28/2022
CD2108060373,24152.03,CONSTRUCTION,USA,"500,000 - 1,000,000",7 years,11/23/2021
CD2103240844,66114.97,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,5/6/2021
CD2202250917,62910,MATERIAL HANDLING,USA,"500,000 - 1,000,000",7 years,2/25/2022
CD2105170711,35108.24,CONSTRUCTION,USA,"Under 250,000",5 years,5/28/2021
CD2109090741,37321.73,AGRICULTURE,USA,"500,000 - 1,000,000",10+ years,9/17/2021
CD2202180632,73130.2,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,3/24/2022
CD2105181048,19289,CONSTRUCTION,USA,"Under 250,000",2 years,5/28/2021
CD2010310025,47662,CONSTRUCTION,CAN,"Under 250,000",10+ years,4/28/2021
CD2202250731,53965.26,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",1 year,3/16/2022
CD2012230195,88295,SHORT-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,3/1/2021
CD2105181064,42099.65,CONSTRUCTION,USA,"Under 250,000",3 years,7/20/2021
CD2012210454,115285,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",9 years,3/18/2021
CD2007170683,62609,CONSTRUCTION,USA,"250,000 - 500,000",6 years,5/7/2021
CD2106021171,43883.55,CONSTRUCTION,CAN,"Under 250,000",10+ years,6/8/2021
CD2112220337,56555.12,CONSTRUCTION,USA,"1,000,000 - 5,000,000",10+ years,12/22/2021
CD2012110043,26118.57,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",7 years,2/8/2021
CD2202250740,32365.22,CONSTRUCTION,USA,"Under 250,000",1 year,3/7/2022
CD2010140214,189785,AGRICULTURE,CAN,"1,000,000 - 5,000,000",10+ years,4/6/2021
CD2112220282,29472.17,LONG-HAUL TRANSPORTATION,CAN,"250,000 - 500,000",10+ years,3/31/2022
CD2111101332,59026.87,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",2 years,3/8/2022
CD2112220580,46671.5,SHORT-HAUL TRANSPORTATION,USA,"Over 10,000,000",10+ years,12/23/2021
CD2012070509,119000,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",4 years,1/12/2021
CD2105261000,16099,CONSTRUCTION,CAN,"250,000 - 500,000",9 years,6/2/2021
CD2111101331,49149.31,CONSTRUCTION,USA,"250,000 - 500,000",10+ years,11/15/2021
CD2201180692,121795,CONSTRUCTION,USA,"Over 10,000,000",2 years,1/19/2022
CD2103240806,47500,RENTAL COMPANY,USA,"Under 250,000",4 years,3/29/2021
CD2105260780,40861.2,CONSTRUCTION,USA,"250,000 - 500,000",6 years,6/11/2021
CD2010140611,249476.14,SHORT-HAUL TRANSPORTATION,USA,"500,000 - 1,000,000",9 years,1/20/2021
CD2202251209,9720.65,CONSTRUCTION,USA,"Under 250,000",0 years,3/3/2022
CD2103240829,159656,CONSTRUCTION,CAN,"5,000,000 - 10,000,000",10+ years,3/26/2021
CD2105181134,10417.9,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",10+ years,5/27/2021
CD2105171066,10153,CONSTRUCTION,USA,"250,000 - 500,000",7 years,5/26/2021
CD2202250960,71779.15,OTHER,CAN,"Under 250,000",0 years,3/22/2022
CD2103240813,21464.75,SHORT-HAUL TRANSPORTATION,CAN,"1,000,000 - 5,000,000",10+ years,3/29/2021
CD2105261119,47250,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",5 years,5/27/2021
CD2105170655,42533,CONSTRUCTION,CAN,"500,000 - 1,000,000",10+ years,6/15/2021
CD2105181117,21613,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,9/13/2021
CD2101250259,55995,CONSTRUCTION,USA,"Over 10,000,000",10+ years,1/26/2021
CD2108060464,64886.16,CONSTRUCTION,USA,"500,000 - 1,000,000",10+ years,8/13/2021
CD2101250269,142081.44,OTHER,CAN,"500,000 - 1,000,000",10+ years,2/8/2021
CD2112220547,26800,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,1/11/2022
CD2010150105,38485,MATERIAL HANDLING,CAN,"500,000 - 1,000,000",9 years,5/31/2021
CD2111230633,54611.55,LONG-HAUL TRANSPORTATION,USA,"250,000 - 500,000",1 year,12/9/2021
CD2202210427,41130,LONG-HAUL TRANSPORTATION,USA,"Under 250,000",0 years,3/3/2022
CD2202251033,52990.48,CONSTRUCTION,CAN,"250,000 - 500,000",6 years,3/14/2022
CD2104260204,33974,MINING,CAN,"1,000,000 - 5,000,000",10+ years,6/10/2021
CD2105181002,119535,CONSTRUCTION,USA,"1,000,000 - 5,000,000",5 years,5/25/2021
CD2102150818,34926.57,SHORT-HAUL TRANSPORTATION,USA,"Under 250,000",5 years,2/25/2021
CD2202250909,145820.5,MATERIAL HANDLING,USA,"500,000 - 1,000,000",5 years,2/25/2022
CD2205020620,38653.94,CONSTRUCTION,USA,"250,000 - 500,000",5 years,5/17/2022
CD2105181266,123698,LONG-HAUL TRANSPORTATION,USA,"1,000,000 - 5,000,000",10+ years,6/1/2021
CD2103240899,29212.8,CONSTRUCTION,CAN,"1,000,000 - 5,000,000",5 years,3/26/2021
CD2105261114,21957.98,CONSTRUCTION,CAN,"250,000 - 500,000",9 years,6/24/2021
CD2101120021,63775.01,CONSTRUCTION,USA,"1,000,000 - 5,000,000",9 years,1/29/2021
CD2202251274,18372.51,CONSTRUCTION,CAN,"Under 250,000",3 years,3/10/2022
CD2111110601,77026.51,CONSTRUCTION,CAN,"250,000 - 500,000",10+ years,5/5/2022
CD2202251134,36451.69,CONSTRUCTION,USA,"Under 250,000",8 years,3/8/2022
CD2102150819,104325.3,CONSTRUCTION,USA,"Under 250,000",10+ years,2/24/2021
